clip_id,model,stem,start_sec,end_sec,source_path,output_path
malaika_27_35,streaming_Apollo,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_Apollo_vocals.wav
malaika_27_35,streaming_Apollo,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_Apollo_acc.wav
malaika_27_35,streaming_BandIt_BSRNN,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_BandIt_BSRNN_vocals.wav
malaika_27_35,streaming_BandIt_BSRNN,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_BandIt_BSRNN_acc.wav
malaika_27_35,streaming_demucs,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_demucs_vocals.wav
malaika_27_35,streaming_demucs,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_demucs_acc.wav
malaika_27_35,streaming_DTTNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_DTTNet_vocals.wav
malaika_27_35,streaming_DTTNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_DTTNet_acc.wav
malaika_27_35,streaming_MDX23C_TFC_TDF_UNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_MDX23C_TFC_TDF_UNet_vocals.wav
malaika_27_35,streaming_MDX23C_TFC_TDF_UNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_MDX23C_TFC_TDF_UNet_acc.wav
malaika_27_35,streaming_SCNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_SCNet_vocals.wav
malaika_27_35,streaming_SCNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/streaming_SCNet_acc.wav
